股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600025,华能水电,6.14,-0.06,-0.97%,-6.83%,23871658,147744680.29,0.13%,20.66,2.606%,110520000000
SH600463,空港股份,7.67,-0.62,-7.48%,-5.43%,18619440,147467774.11,6.21%,,,2301000000
SH603063,禾望电气,27.05,-1.57,-5.49%,-32.9%,5319643,147466455.11,1.23%,42.205,0.259%,11815142450
SH603018,华设集团,7.77,-0.46,-5.59%,-7.06%,18503307,147412472.42,2.77%,8.594,3.346%,5312977997
SH600330,天通股份,8.95,-0.45,-4.79%,-44.86%,16112378,147379847.8,1.62%,21.492,0.559%,8919263284
SH603558,健盛集团,12.89,-0.17,-1.3%,9.42%,11096413,146959393.5,2.82%,,,5065030746
SH601997,贵阳银行,6.22,-0.06,-0.96%,-4.45%,23351319,146832069.78,0.66%,3.785,4.823%,22741552033
SH600981,汇鸿集团,3.29,-0.26,-7.32%,-6.8%,43326700,146450773.44,1.93%,31.65,1.064%,7377605202
SH600552,凯盛科技,8.4,-0.55,-6.15%,-28.33%,16951086,146418666.25,2.22%,40.756,1.19%,6416625625
SH603939,益丰药房,35.2,-0.72,-2%,-36.13%,4092372,146127687.99,0.57%,28.384,0.656%,25300539968
SH605108,同庆楼,18.04,-2,-9.98%,-1.42%,7899666,146089014.4,9.67%,29.65,0.426%,4690400000
SH600810,神马股份,9.86,-0.46,-4.46%,-20.8%,14577232,145945475.86,2.04%,4.802,10.396%,10295572777
SH600015,华夏银行,5.53,-0.04,-0.72%,-1.25%,26186790,145692532.41,0.2%,3.644,5.443%,85091348626
SH603396,金辰股份,50.88,-2.99,-5.55%,-58.63%,2783154,145656271.44,2.4%,61.28,0.429%,5916992012
SH601258,庞大集团,1.36,-0.05,-3.55%,-17.07%,105558998,145579290.28,1.03%,12.465,,13909026095
SH603086,先达股份,11.69,-0.91,-7.22%,-5.65%,12162721,145365189.42,5.52%,18.875,2.139%,2593847340
SH600303,曙光股份,4.9,+0.01,+0.2%,4.26%,29977661,145352736.53,4.44%,,0.51%,3310460634
SH600814,杭州解百,7.61,-0.59,-7.2%,16.54%,18540042,145192446.46,2.59%,15.987,2.51%,5604588128
